Year,Gender,source,target,Stock,Difference,AbsDifference
2017,A,Syrian Arab Republic,Turkey,3271533,251520,251520
2017,A,Mexico,United States of America,12683066,203595,203595
2017,A,Poland,Germany,1936653,154793,154793
2017,A,Turkey,Germany,1661588,132808,132808
2017,A,South Sudan,Uganda,903199,132096,132096
2017,A,India,Saudi Arabia,2266216,131480,131480
2017,A,Pakistan,Afghanistan,95041,-126664,126664
2017,A,Indonesia,Saudi Arabia,1548032,89813,89813
2017,A,Russian Federation,Germany,1084151,86654,86654
2017,A,Kazakhstan,Germany,1020277,81549,81549
2017,A,Pakistan,Saudi Arabia,1343737,77960,77960
2017,A,India,Oman,1201995,74991,74991
2017,A,Bangladesh,Saudi Arabia,1157072,67130,67130
2017,A,India,Pakistan,1873650,-63629,63629
2017,A,India,United Arab Emirates,3310419,63201,63201
2017,A,Afghanistan,Pakistan,1515738,-51475,51475
2017,A,Egypt,Saudi Arabia,871621,50569,50569
2017,A,India,Kuwait,1157072,47657,47657
2017,A,Romania,Germany,592182,47332,47332
2017,A,Bulgaria,Turkey,570585,43867,43867
2017,A,Democratic Republic of the Congo,Uganda,298749,43693,43693
2017,A,Czechia,Germany,545361,43590,43590
2017,A,Syrian Arab Republic,Saudi Arabia,745580,43257,43257
2017,A,Yemen,Saudi Arabia,697296,40455,40455
2017,A,China,United States of America,2422998,38895,38895
2017,A,State of Palestine,Jordan,2046650,38460,38460
2017,A,India,United States of America,2307909,37048,37048
2017,A,Philippines,Saudi Arabia,583985,33881,33881
2017,A,Philippines,United States of America,2076253,33329,33329
2017,A,Italy,Germany,415875,33240,33240
2017,A,United Kingdom,Australia,1351846,31225,31225
2017,A,Puerto Rico,United States of America,1903730,30560,30560
2017,A,Curaçao,Netherlands,502,-30400,30400
2017,A,Russian Federation,Kazakhstan,2411227,29315,29315
2017,A,Sri Lanka,Saudi Arabia,479391,27813,27813
2017,A,Nepal,Saudi Arabia,455905,26450,26450
2017,A,Myanmar,Thailand,1835106,26167,26167
2017,A,Afghanistan,Saudi Arabia,435810,25285,25285
2017,A,Sudan,Saudi Arabia,435810,25285,25285
2017,A,Germany,Turkey,324602,24956,24956
2017,A,Iraq,Syrian Arab Republic,206944,-23333,23333
2017,A,South Sudan,Sudan,301885,22963,22963
2017,A,VietNam,United States of America,1409063,22619,22619
2017,A,Zimbabwe,South Africa,649385,22569,22569
2017,A,El Salvador,United States of America,1392663,22356,22356
2017,A,Poland,United Kingdom,874291,21294,21294
2017,A,Ukraine,Germany,262027,20943,20943
2017,A,Austria,Germany,258452,20658,20658
2017,A,India,United Kingdom,836524,20374,20374
2017,A,Cuba,United States of America,1251037,20082,20082
2017,A,Bangladesh,United Arab Emirates,1044505,19941,19941
2017,A,Republic of Korea,United States of America,1177066,18895,18895
2017,A,Republic of Moldova,Romania,151249,18298,18298
2017,A,Pakistan,United Arab Emirates,950145,18140,18140
2017,A,China,China; Hong Kong SAR,2343868,18043,18043
2017,A,Malaysia,Singapore,1158890,17618,17618
2017,A,Egypt,Kuwait,422823,17415,17415
2017,A,Bangladesh,Oman,276518,17252,17252
2017,A,Greece,Germany,215784,17247,17247
2017,A,Dominican Republic,United States of America,1069268,17164,17164
2017,A,Burundi,United Republic of Tanzania,208949,16812,16812
2017,A,Croatia,Germany,210184,16800,16800
2017,A,Russian Federation,Ukraine,3309525,16384,16384
2017,A,Egypt,United Arab Emirates,857947,16380,16380
2017,A,Bosnia and Herzegovina,Germany,200510,16026,16026
2017,A,Syrian Arab Republic,Egypt,174813,-16012,16012
2017,A,Rwanda,Uganda,108638,15889,15889
2017,A,Bangladesh,India,3139311,-15856,15856
2017,A,Bangladesh,Kuwait,381669,15720,15720
2017,A,Guatemala,United States of America,975504,15659,15659
2017,A,Syrian Arab Republic,Sweden,99352,15629,15629
2017,A,New Zealand,Australia,673378,15554,15554
2017,A,Canada,United States of America,893491,14343,14343
2017,A,Eritrea,Sudan,188411,14332,14332
2017,A,China,Japan,741022,14250,14250
2017,A,Myanmar,Saudi Arabia,242510,14070,14070
2017,A,Pakistan,Kuwait,340481,14024,14024
2017,A,Hungary,Germany,173338,13855,13855
2017,A,Poland,Netherlands,126133,13849,13849
2017,A,Pakistan,Oman,218522,13633,13633
2017,A,China,Canada,711555,13577,13577
2017,A,Serbia,Netherlands,176,-13268,13268
2017,A,Sudan,Uganda,90652,13258,13258
2017,A,Lao Peoples Democratic Republic,Thailand,923050,13162,13162
2017,A,TFYR Macedonia,Turkey,170807,13132,13132
2017,A,Pakistan,United Kingdom,529324,12892,12892
2017,A,Nigeria,Niger,98849,12835,12835
2017,A,Paraguay,Argentina,704503,12730,12730
2017,A,Jordan,Saudi Arabia,217904,12642,12642
2017,A,Syrian Arab Republic,Jordan,668842,12569,12569
2017,A,Jamaica,United States of America,773204,12412,12412
2017,A,Somalia,Ethiopia,467508,12299,12299
2017,A,Colombia,United States of America,753847,12101,12101
2017,A,United Kingdom,United States of America,748206,12011,12011
2017,A,United Kingdom,Canada,624411,11914,11914
2017,A,Afghanistan,Iran (Islamic Republic of),2324884,-11743,11743
2017,A,France,Germany,146297,11693,11693
2017,A,State of Palestine,Egypt,127186,-11650,11650
2017,A,India,Canada,602146,11490,11490